#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dpd
#open	2018-02-28-14-12-23
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	analyzer	failure_reason
#types	time	string	addr	port	addr	port	enum	string	string
1331915800.380000	CJFGUp2RafGgrGkfBb	192.168.202.76	31592	192.168.229.156	5060	udp	SIP	Binpac exception: binpac exception: string mismatch at /Users/ahill6/bro/src/analyzer/protocol/sip/sip-protocol.pac:21: \x0aexpected pattern: "[^()<>@,;:\\"/\\[\\]?={} \\t]+"\x0aactual data: ""
1331916965.860000	CHVwIW2JGY47FSCfW4	192.168.202.110	58728	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916965.860000	Cpw0YI1Pxpy19lSCn	192.168.202.110	58730	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916967.100000	C3OfVN3PN6ze8gSOob	192.168.202.110	58749	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916967.220000	Cl6L8CPyBqTISz51f	192.168.202.110	58764	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916997.390000	C1YnOK3PJCsZG0tfCj	192.168.202.110	58845	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916997.810000	CLw53h3wCS6AgVHNr1	192.168.202.110	58906	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916998.160000	CQqh2i245UdPI6Qa7a	192.168.202.110	58947	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916998.170000	CIS0Hi4Wmw3AOf1yub	192.168.202.110	58949	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916998.310000	CHGIoidALpPMZaEp9	192.168.202.110	58971	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916998.380000	CzkoMvhZer3i6ZB75	192.168.202.110	58984	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916998.390000	CwOmwG4sh8SeeE7Kqi	192.168.202.110	58985	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916999.260000	C6nL9z3ViMkvnQxB95	192.168.202.110	59001	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916999.310000	CsGgck4xM1kRH47pCl	192.168.202.110	59006	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916999.410000	CE1WaS3rUGvo2LTXd	192.168.202.110	58977	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916999.470000	CwuBxAvsvGHKuBVl9	192.168.202.110	59013	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916999.550000	CYXCQQ9bItsx4HTD7	192.168.202.110	59017	192.168.23.101	80	tcp	HTTP	not a http reply line
1331916999.560000	CbeVSYPwdMqJy7aZ1	192.168.202.110	59018	192.168.23.101	80	tcp	HTTP	not a http reply line
1331917006.490000	ClNCnS1M0ahF05dP38	192.168.202.110	59086	192.168.23.101	80	tcp	HTTP	not a http reply line
1331917006.500000	CptSWw1fZpfqpsWWla	192.168.202.110	59095	192.168.23.101	80	tcp	HTTP	not a http reply line
1331917007.890000	CtS7XL1PyjLyocJusk	192.168.202.110	59136	192.168.23.101	80	tcp	HTTP	not a http reply line
1331917010.310000	CVjq392Bi1A2qAwHi8	192.168.202.110	59187	192.168.23.101	80	tcp	HTTP	not a http reply line
1331917010.480000	CjfRrKmwr5wG1OO0c	192.168.202.110	59213	192.168.23.101	80	tcp	HTTP	not a http reply line
1331917010.570000	ConZXp2Yfnkeqww1f6	192.168.202.110	59226	192.168.23.101	80	tcp	HTTP	not a http reply line
1331917029.200000	C9Yf2N3E73f79KiY9	192.168.202.110	44241	192.168.23.103	80	tcp	HTTP	not a http reply line
1331917029.240000	Cf4183ngLIUFbG8wb	192.168.202.110	44245	192.168.23.103	80	tcp	HTTP	not a http reply line
1331917066.340000	CWpRli2v4NUTpnHDI9	192.168.202.110	44716	192.168.23.103	80	tcp	HTTP	not a http reply line
1331917102.900000	Cqie3y2eRsIZnGl3Be	192.168.202.110	44841	192.168.23.103	80	tcp	HTTP	not a http reply line
1331917102.940000	CvKL7MLCNv6xCI787	192.168.202.110	44844	192.168.23.103	80	tcp	HTTP	not a http reply line
1331917158.500000	CmBif41ryuiD4JvTP7	192.168.202.110	60099	192.168.23.101	80	tcp	HTTP	not a http reply line
1331917158.550000	Ch705T3cqGPHsAhV8b	192.168.202.110	60105	192.168.23.101	80	tcp	HTTP	not a http reply line
1331917357.290000	CZ3Am7381f5LvqpUpg	192.168.202.102	3758	192.168.21.103	80	tcp	HTTP	not a http request line
1331917359.690000	Cn5Gz24RxnA26MWs49	192.168.202.102	3791	192.168.21.103	80	tcp	HTTP	not a http request line
1331917402.470000	CJpHRG6C5oWzYkcAl	192.168.202.102	4554	192.168.21.103	80	tcp	HTTP	not a http request line
1331917406.790000	CN1Tam1AuNk7QHytuf	192.168.202.102	4715	192.168.21.103	80	tcp	HTTP	not a http request line
1331917521.230000	Czbmkr4TN5I5hWkE2i	192.168.202.102	2030	192.168.21.103	80	tcp	HTTP	not a http request line
1331917525.930000	CSZ4Sf7JlJCqVPf12	192.168.202.102	2035	192.168.21.103	80	tcp	HTTP	not a http request line
1331917560.570000	CmBs3k28r4RU6cDZO3	192.168.202.102	2237	192.168.21.103	80	tcp	HTTP	not a http request line
1331917564.050000	Cf8S183LXKF4LAq2U3	192.168.202.102	2247	192.168.21.103	80	tcp	HTTP	not a http request line
1331917598.690000	CZwANl1SGKg305VSal	192.168.202.102	2335	192.168.21.103	80	tcp	HTTP	not a http request line
1331917606.300000	CRcSQp4pWXwOMTfoYg	192.168.202.102	2342	192.168.21.103	80	tcp	HTTP	not a http request line
1331917642.610000	CrXOfj2EyUa8y35nhj	192.168.202.102	2428	192.168.21.103	80	tcp	HTTP	not a http request line
1331917646.330000	CcpQt4XAUKZAHDGw7	192.168.202.102	2444	192.168.21.103	80	tcp	HTTP	not a http request line
1331917683.250000	C5NYUT3A5PUZ6CEp52	192.168.202.102	2530	192.168.21.103	80	tcp	HTTP	not a http request line
1331917687.490000	Cz48m14Tf27zXzPQZh	192.168.202.102	2538	192.168.21.103	80	tcp	HTTP	not a http request line
1331917724.160000	Ca5vBs3n1KPSupgtGb	192.168.202.102	2629	192.168.21.103	80	tcp	HTTP	not a http request line
1331917731.130000	CQxYeE2U3sGLI3a4Z	192.168.202.102	2636	192.168.21.103	80	tcp	HTTP	not a http request line
1331917763.650000	Cg0D5e2cHTfAWNys81	192.168.202.102	2720	192.168.21.103	80	tcp	HTTP	not a http request line
1331917770.110000	C7o49y26dgJUNInbb1	192.168.202.102	2737	192.168.21.103	80	tcp	HTTP	not a http request line
1331917807.180000	C3Tid52dRESzPD2pc	192.168.202.102	2818	192.168.21.103	80	tcp	HTTP	not a http request line
1331917814.180000	CvGtC93DERITCM0CNe	192.168.202.102	2830	192.168.21.103	80	tcp	HTTP	not a http request line
1331917851.020000	CiOwVq1g5GFqYebDL8	192.168.202.102	2927	192.168.21.103	80	tcp	HTTP	not a http request line
1331917854.080000	C6XrcXNoJlZF1eGKg	192.168.202.102	2943	192.168.21.103	80	tcp	HTTP	not a http request line
1331917892.540000	CtAkuV3WhKmwEWkTIb	192.168.202.102	3031	192.168.21.103	80	tcp	HTTP	not a http request line
1331917897.140000	CbbpZ34Q6a2tkEMfRb	192.168.202.102	3036	192.168.21.103	80	tcp	HTTP	not a http request line
1331917930.380000	CPRr4HcWNHH3aeQD6	192.168.202.102	3152	192.168.21.103	80	tcp	HTTP	not a http request line
1331917940.990000	C31X181LWHApPIAgeb	192.168.202.102	3163	192.168.21.103	80	tcp	HTTP	not a http request line
1331917969.220000	ClC06F1cDxOnDd7nl5	192.168.202.102	3239	192.168.21.103	80	tcp	HTTP	not a http request line
1331917979.270000	CXUHwU3d7ibzMdKgq7	192.168.202.102	3264	192.168.21.103	80	tcp	HTTP	not a http request line
1331918010.720000	CJtZcc11dABPEv26T5	192.168.202.102	3333	192.168.21.103	80	tcp	HTTP	not a http request line
1331918024.810000	CrS1meXdHpVRZRKd	192.168.202.102	3357	192.168.21.103	80	tcp	HTTP	not a http request line
1331918052.260000	CR6UtTtOkMPFSZcKj	192.168.202.102	3430	192.168.21.103	80	tcp	HTTP	not a http request line
1331918062.100000	CpOT2s4HLEV0Znfto2	192.168.202.102	3457	192.168.21.103	80	tcp	HTTP	not a http request line
1331918092.000000	CX0Swe3yvBcIuABH3k	192.168.202.102	3525	192.168.21.103	80	tcp	HTTP	not a http request line
1331918102.150000	CWaLt911kdwOC46oI7	192.168.202.102	3549	192.168.21.103	80	tcp	HTTP	not a http request line
1331918131.230000	C7Smbq2x2qa7bMXK49	192.168.202.102	3620	192.168.21.103	80	tcp	HTTP	not a http request line
1331918145.180000	Crhzj13bxy7uapptJ2	192.168.202.102	3642	192.168.21.103	80	tcp	HTTP	not a http request line
1331918177.570000	CWHGOI1pK2k2asiM66	192.168.202.102	3697	192.168.21.103	80	tcp	HTTP	not a http request line
1331918183.660000	CTomnMtdLxXxtW6a1	192.168.202.102	3720	192.168.21.103	80	tcp	HTTP	not a http request line
1331918219.100000	CpLrIk35w8nXMc5inc	192.168.202.102	3775	192.168.21.103	80	tcp	HTTP	not a http request line
1331918221.500000	CjNmpa2Gq06V5f5Pml	192.168.202.102	3786	192.168.21.103	80	tcp	HTTP	not a http request line
1331918258.110000	CHbrva10pqCuYXz987	192.168.202.102	3851	192.168.21.103	80	tcp	HTTP	not a http request line
1331918264.510000	CldEzeywo3skxCAx3	192.168.202.102	3855	192.168.21.103	80	tcp	HTTP	not a http request line
1331918299.660000	CzhvsW3xjevacNQBQ8	192.168.202.102	3919	192.168.21.103	80	tcp	HTTP	not a http request line
1331918309.570000	CszJJc4qPuqPb91LN8	192.168.202.102	3933	192.168.21.103	80	tcp	HTTP	not a http request line
1331918348.420000	Cy9WZw45zzw9cuMXaj	192.168.202.102	3992	192.168.21.103	80	tcp	HTTP	not a http request line
1331918348.420000	C7al9afqCBFvJ0zu3	192.168.202.102	4009	192.168.21.103	80	tcp	HTTP	not a http request line
1331918386.140000	C3qN4C3zBj2P3qjGKd	192.168.202.102	4074	192.168.21.103	80	tcp	HTTP	not a http request line
1331918393.850000	C7Fruz1IR7zdaKmj6j	192.168.202.102	4075	192.168.21.103	80	tcp	HTTP	not a http request line
1331918429.260000	CV2bqt4bPmmHsLV5ih	192.168.202.102	4142	192.168.21.103	80	tcp	HTTP	not a http request line
1331918438.710000	CLY8OpbC7rFwgOeu	192.168.202.102	4155	192.168.21.103	80	tcp	HTTP	not a http request line
1331918470.600000	CrhgbZ2ZdqDSk8d8dl	192.168.202.102	4215	192.168.21.103	80	tcp	HTTP	not a http request line
1331918476.490000	CTnIhICPXaqDtfii5	192.168.202.102	4230	192.168.21.103	80	tcp	HTTP	not a http request line
1331918509.830000	CyasWcd2h6s7pKPed	192.168.202.102	4288	192.168.21.103	80	tcp	HTTP	not a http request line
1331918515.150000	CtAl7OjI4fPAX6Dz2	192.168.202.102	4302	192.168.21.103	80	tcp	HTTP	not a http request line
1331918547.630000	CyRnY12K9gEKBFNZ3a	192.168.202.102	4365	192.168.21.103	80	tcp	HTTP	not a http request line
1331918554.290000	CK6saXzCyIlSvgnNi	192.168.202.102	4373	192.168.21.103	80	tcp	HTTP	not a http request line
1331918586.460000	CdvfWf4lF1zx4Lj9n5	192.168.202.102	4436	192.168.21.103	80	tcp	HTTP	not a http request line
1331918595.420000	CvxldL31iRm6Gz3ynl	192.168.202.102	4447	192.168.21.103	80	tcp	HTTP	not a http request line
1331918628.670000	CsiP481n0XsR0OSCFf	192.168.202.102	4506	192.168.21.103	80	tcp	HTTP	not a http request line
1331918633.370000	CO7gHAbyftCTTcoeb	192.168.202.102	4522	192.168.21.103	80	tcp	HTTP	not a http request line
1331918667.480000	CFO8QG10kP5exR4lo3	192.168.202.102	4584	192.168.21.103	80	tcp	HTTP	not a http request line
1331918671.900000	CIW2LI1BiyqXrbzzfl	192.168.202.102	4592	192.168.21.103	80	tcp	HTTP	not a http request line
1331918707.330000	CmDx4I3f7hQaiR3Bi8	192.168.202.102	4657	192.168.21.103	80	tcp	HTTP	not a http request line
1331918716.720000	C33Qd34NAkjX8IKg4	192.168.202.102	4664	192.168.21.103	80	tcp	HTTP	not a http request line
1331918721.760000	Chb3rh2DHGbjrDL5T8	192.168.202.110	39173	192.168.229.101	80	tcp	HTTP	not a http reply line
1331918751.620000	CH4Fut4ngEINQNzpsa	192.168.202.102	4728	192.168.21.103	80	tcp	HTTP	not a http request line
1331918756.930000	CUMuay2eTPHP89alG2	192.168.202.102	4742	192.168.21.103	80	tcp	HTTP	not a http request line
1331918782.680000	Chw7GR3KzSNEmG8C2j	192.168.202.110	39942	192.168.229.101	80	tcp	HTTP	not a http reply line
1331918782.710000	C3UAsfDSdW7Q3b7Oh	192.168.202.110	39948	192.168.229.101	80	tcp	HTTP	not a http reply line
1331918793.520000	CDc0f62HIjT0BXl8le	192.168.202.102	4807	192.168.21.103	80	tcp	HTTP	not a http request line
1331918796.470000	ClEyD99dlLo45Y7c2	192.168.202.102	4816	192.168.21.103	80	tcp	HTTP	not a http request line
1331918832.420000	CoAQ1d3qR0d4zwEHga	192.168.202.102	4886	192.168.21.103	80	tcp	HTTP	not a http request line
1331918835.160000	COawrLJHhTyiL8XEi	192.168.202.102	4891	192.168.21.103	80	tcp	HTTP	not a http request line
1331918873.030000	CVPsmZ1VX5bOcVbLX1	192.168.202.102	4959	192.168.21.103	80	tcp	HTTP	not a http request line
1331918878.890000	C8mSVC4PishmHxhv54	192.168.202.102	4963	192.168.21.103	80	tcp	HTTP	not a http request line
1331918909.110000	C1QIRD2P3lq7OtS1r4	192.168.202.110	33459	192.168.229.251	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /Users/ahill6/bro/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0a"
1331918910.630000	Cne9h31ccf0N2A33k8	192.168.202.102	1065	192.168.21.103	80	tcp	HTTP	not a http request line
